nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [245/24611] tile (-57,80): 0 sites (0 new) — 112s elapsed, 2.2 tiles/s, ETA ~?s
  [246/24611] tile (-56,80): 0 sites (0 new) — 113s elapsed, 2.2 tiles/s, ETA ~?s
  [247/24611] tile (-55,80): 0 sites (0 new) — 113s elapsed, 2.2 tiles/s, ETA ~?s
  [248/24611] tile (-54,80): 0 sites (0 new) — 113s elapsed, 2.2 tiles/s, ETA ~?s
  [249/24611] tile (-53,80): 0 sites (0 new) — 114s elapsed, 2.2 tiles/s, ETA ~?s
  [250/24611] tile (-52,80): 0 sites (0 new) — 114s elapsed, 2.2 tiles/s, ETA ~?s
  [251/24611] tile (-51,80): 0 sites (0 new) — 114s elapsed, 2.2 tiles/s, ETA ~?s
  [252/24611] tile (-50,80): 0 sites (0 new) — 114s elapsed, 2.2 tiles/s, ETA ~?s
  [253/24611] tile (-49,80): 0 sites (0 new) — 115s elapsed, 2.2 tiles/s, ETA ~?s
  [254/24611] tile (-48,80): 0 sites (0 new) — 115s elapsed, 2.2 tiles/s, ETA ~?s
  [255/24611] tile (-47,80): 0 sites (0 new) — 115s elapsed, 2.2 tiles/s, ETA ~?s
  [256/24611] tile (-46,80): 0 sites (0 new) — 116s elapsed, 2.2 tiles/s, ETA ~?s
  [257/24611] tile (-45,80): 0 sites (0 new) — 116s elapsed, 2.2 tiles/s, ETA ~?s
  [258/24611] tile (-44,80): 0 sites (0 new) — 117s elapsed, 2.2 tiles/s, ETA ~?s
